time,gpu_memory_mb
1778581465.2343838,2893
1778581466.2873378,2893
1778581467.340125,2894
1778581468.3859842,3427
1778581469.4352434,3427
1778581470.4757047,3427
1778581471.5412676,3359
1778581472.5904255,3625
1778581473.6488445,3638
1778581474.7045267,3665
1778581475.7454817,3453
1778581476.787263,3495
1778581477.848514,3536
1778581478.898137,3727
1778581479.953063,3773
1778581481.0083158,3176
1778581482.0629625,3400
1778581483.1093316,3401
1778581484.15938,3400
1778581485.2136168,3260
1778581486.2802022,3679
1778581487.3195171,3635
1778581488.3646474,3265
1778581489.419183,3428
1778581490.4617317,3686
1778581491.4978347,3682
1778581492.5573723,3282
1778581493.594461,3710
1778581494.6513498,3422
1778581495.7123713,3420
1778581496.7574646,3435
1778581497.8033266,3713
1778581498.846462,3755
1778581499.8900537,3266
1778581500.9688056,3387
1778581502.0379722,3368
1778581503.080161,3331
1778581504.117426,3644
1778581505.168119,3663
1778581506.213495,3197
1778581507.2590196,3362
1778581508.3275597,3362
1778581509.3871703,3363
1778581510.440952,3645
1778581511.490496,3657
1778581512.5481527,3653
1778581513.5921388,3269
1778581514.63547,3385
1778581515.700431,3423
1778581516.7581153,3703
1778581517.807869,3738
1778581518.864215,3350
1778581519.9197555,3671
1778581520.9755783,3397
1778581522.0185683,3421
1778581523.057615,3367
1778581524.10097,3614
1778581525.1549718,3175
1778581526.1912725,3616
1778581527.2800407,3641
1778581528.3302517,3365
1778581529.3801587,3364
1778581530.4304469,3355
1778581531.4805245,3611
1778581532.5301702,3631
1778581533.5726693,3587
1778581534.6080415,3631
1778581535.669339,3333
1778581536.7012055,3333
1778581537.7592213,3589
1778581538.7908087,3585
1778581539.8479428,3199
1778581540.9001381,3627
1778581541.9479983,3333
1778581542.9914176,3333
1778581544.0420442,3373
1778581545.0942807,3634
1778581546.147243,3491
1778581547.1910098,3697
1778581548.2472343,3653
1778581549.3473196,3307
1778581550.4056976,3310
1778581551.4862528,3719
1778581552.5307543,3611
1778581553.6529174,3706
1778581554.705856,3437
1778581555.7700195,3694
1778581556.832768,3690
1778581557.8872545,3682
1778581558.9382932,3724
1778581559.9921024,3381
1778581561.046751,3381
1778581562.0810812,3374
1778581563.1199524,3625
1778581564.186879,3197
1778581565.2368596,3601
1778581566.2755747,3645
1778581567.3201444,3347
1778581568.3645513,3347
1778581569.4161637,3603
1778581570.4592547,3599
1778581571.5036778,3641
1778581572.5464976,3641
1778581573.647975,3369
1778581574.6966553,3369
1778581575.7428837,3369
1778581576.7760363,3625
1778581577.8250089,3645
1778581578.8868446,3601
1778581579.9204152,3645
1778581580.9741325,3369
1778581582.017211,3369
1778581583.0649834,3369
1778581584.1166358,3217
1778581585.1539083,3645
1778581586.1927857,3601
1778581587.2557225,3645
1778581588.3042219,3357
1778581589.342913,3613
1778581590.381809,3601
1778581591.4209962,3215
1778581592.4746306,3643
1778581593.5153613,3491
1778581594.5578198,3491
1778581595.5931618,3491
1778581596.6359806,3213
1778581597.6813643,3671
1778581598.7489665,3671
1778581599.856465,3671
1778581600.893253,3317
1778581601.960931,3317
1778581603.0043738,3701
1778581604.0433009,3619
1778581605.0823157,3619
1778581606.1211574,3619
1778581607.1712148,3359
1778581608.21025,3359
1778581609.2598317,3359
1778581610.3021727,3743
1778581611.3492746,3259
1778581612.3930838,3643
1778581613.4380543,3643
1778581614.4825706,3349
1778581615.5338902,3349
1778581616.5770006,3733
1778581617.615947,3641
1778581618.6548557,3641
1778581619.6990254,3257
1778581620.743998,3317
1778581621.7874422,3317
1778581622.8243175,3317
1778581623.8783925,3151
1778581624.916119,3619
1778581625.9659564,3619
1778581627.0104923,3619
1778581628.0496385,3287
1778581629.094069,3287
1778581630.1329577,3671
1778581631.1775942,3617
1778581632.2204475,3617
1778581633.2552736,3617
1778581634.3047957,3359
1778581635.338653,3359
1778581636.3809853,3359
1778581637.427773,3743
1778581638.4720497,3643
1778581639.5165896,3643
1778581640.5889518,3643
1778581641.6277497,3313
1778581642.7030385,3313
1778581643.7540958,3697
1778581644.804065,3619
1778581645.861372,3619
1778581646.9000676,3619
1778581647.94535,3317
1778581648.9835713,3317
1778581650.0336351,3317
1778581651.072431,3619
1778581652.111346,3619
1778581653.1639962,3215
1778581654.2170656,3311
1778581655.294795,3313
1778581656.344902,3313
1778581657.4017978,3151
1778581658.4393034,3619
1778581659.4893324,3619
1778581660.534058,3619
1778581661.5729299,3349
1778581662.6173923,3349
1778581663.656099,3733
1778581664.7107854,3513
1778581665.761923,3641
1778581666.7991807,3641
1778581667.861566,3313
1778581668.9062839,3313
1778581669.959894,3697
1778581670.9954703,3619
1778581672.0386872,3171
1778581673.0730968,3619
1778581674.1204731,3287
1778581675.1622264,3287
1778581676.2064936,3671
1778581677.245377,3617
1778581678.3081014,3617
1778581679.3542538,3169
1778581680.3899624,3359
1778581681.4288745,3359
1778581682.4678023,3359
1778581683.5179403,3743
1778581684.556707,3643
1778581685.6014223,3643
1778581686.6400964,3643
1778581687.6943147,3317
1778581688.7459562,3317
1778581689.7893674,3317
1778581690.8574502,3619
1778581691.9002717,3619
1778581692.9471867,3619
1778581693.9896083,3153
1778581695.0424469,3359
1778581696.0848577,3359
1778581697.12957,3359
1778581698.173766,3643
1778581699.212693,3643
1778581700.251691,3151
1778581701.3016865,3349
1778581702.3462174,3349
1778581703.4018385,3171
1778581704.4406629,3641
1778581705.4906259,3641
1778581706.5464225,3641
1778581707.6195428,3389
1778581708.6683075,3389
1778581709.7141805,3773
1778581710.7744622,3197
1778581711.8215911,3645
1778581712.8797626,3645
1778581713.918692,3317
1778581714.9750779,3317
1778581716.0172143,3619
1778581717.063197,3619
1778581718.1300688,3619
1778581719.196603,3349
1778581720.2799244,3349
1778581721.3244834,3349
1778581722.3633814,3641
1778581723.4080412,3641
1778581724.4523318,3641
1778581725.5080469,3399
1778581726.5570116,3401
1778581727.6024332,3785
1778581728.6471639,3647
1778581729.685502,3647
1778581730.7527332,3647
1778581731.8334131,3359
1778581732.8861682,3359
1778581733.9247818,3743
1778581734.974602,3643
1778581736.0088449,3643
1778581737.0524566,3153
1778581738.1004143,3349
1778581739.1360483,3349
1778581740.1795118,3349
1778581741.2141094,3733
1778581742.257255,3151
1778581743.2917078,3641
1778581744.3335857,3641
1778581745.396811,3313
1778581746.4474795,3313
1778581747.4911957,3697
1778581748.5307882,3619
1778581749.5750322,3619
1778581750.6198015,3619
1778581751.65869,3313
1778581752.7028706,3313
1778581753.7533677,3313
1778581754.797739,3619
1778581755.870906,3619
1778581756.9141045,3619
1778581757.959933,3315
1778581758.9977205,3317
1778581760.0531344,3317
1778581761.0923967,3701
1778581762.1427407,3619
1778581763.1922774,3619
1778581764.2812104,3619
1778581765.336876,3389
1778581766.397898,3773
1778581767.4426007,3645
1778581768.4873564,3645
1778581769.5370836,3261
1778581770.580059,3317
1778581771.620117,3317
1778581772.6637907,3317
1778581773.702382,3171
1778581774.7585773,3619
1778581775.8091662,3619
1778581776.8769546,3619
1778581777.9316747,3317
1778581778.9758954,3317
1778581780.0150363,3701
1778581781.0698125,3619
1778581782.1039288,3619
1778581783.1469042,3619
1778581784.1817849,3389
1778581785.2431092,3389
1778581786.2878356,3389
1778581787.3263202,3773
1778581788.3705926,3153
1778581789.4138803,3645
1778581790.4708526,3645
1778581791.539744,3389
1778581792.593323,3389
1778581793.6321166,3389
1778581794.676036,3151
1778581795.7116196,3645
1778581796.7713523,3645
1778581797.805901,3645
